"","name","location","affiliation"
"http://data.linkededucation.org/resource/lak/person/sergey-butakov","Sergey Butakov","http://dbpedia.org/resource/South_Korea","http://data.linkededucation.org/resource/lak/organization/solbridge-international-school-of-business"
"http://data.linkededucation.org/resource/lak/person/luo-si","Luo Si","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/purdue-university"
"http://data.linkededucation.org/resource/lak/person/jose-p-gonzalez-brenes","Jose P. Gonzalez-brenes","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/vania-dimitrova","Vania Dimitrova","http://dbpedia.org/resource/UK","http://data.linkededucation.org/resource/lak/organization/university-of-leeds"
"http://data.linkededucation.org/resource/lak/person/nabila-bousbia","Nabila Bousbia","http://dbpedia.org/resource/France","http://data.linkededucation.org/resource/lak/organization/laboratoire-de-paris-6"
"http://data.linkededucation.org/resource/lak/person/stefan-droschler","Stefan Droschler","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/massachusetts-institute-of-technology"
"http://data.linkededucation.org/resource/lak/person/lars-schmidt-thieme","Lars Schmidt-thieme","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/university-of-hildesheim"
"http://data.linkededucation.org/resource/lak/person/k-stefanova","K. Stefanova","http://dbpedia.org/resource/Bulgaria","http://data.linkededucation.org/resource/lak/organization/university-of-national-and-world-economy"
"http://data.linkededucation.org/resource/lak/person/christopher-teplovs","Christopher Teplovs","http://dbpedia.org/resource/Denmark","http://data.linkededucation.org/resource/lak/organization/centre-for-applied-information-and-communication-technology---copenhagen-business-school"
"http://data.linkededucation.org/resource/lak/person/david-sanchez-de-castro","David Sanchez de Castro","http://dbpedia.org/resource/Spain","http://data.linkededucation.org/resource/lak/organization/university-carlos-iii-of-madrid"
"http://data.linkededucation.org/resource/lak/person/marta-zorrilla","Marta Zorrilla","http://dbpedia.org/resource/Spain","http://data.linkededucation.org/resource/lak/organization/universidad-de-cantabria"
"http://data.linkededucation.org/resource/lak/person/bruce-sherin","Bruce Sherin","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/northwestern-university"
"http://data.linkededucation.org/resource/lak/person/blair-lehman","Blair Lehman","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-memphis"
"http://data.linkededucation.org/resource/lak/person/derick-leony","Derick Leony","http://dbpedia.org/resource/Spain","http://data.linkededucation.org/resource/lak/organization/university-carlos-iii-of-madrid"
"http://data.linkededucation.org/resource/lak/person/brent-morgan","Brent Morgan","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-memphis"
"http://data.linkededucation.org/resource/lak/person/bob-dolan","Bob Dolan","http://dbpedia.org/resource/","http://data.linkededucation.org/resource/lak/organization/pearson"
"http://data.linkededucation.org/resource/lak/person/tomaas-horvath","Tomaas Horvath","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/university-of-hildesheim"
"http://data.linkededucation.org/resource/lak/person/leigh-ann-sudol-delyser","Leigh Ann Sudol-delyser","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/vassilios-protonotarios","Vassilios Protonotarios","http://dbpedia.org/resource/Greece","http://data.linkededucation.org/resource/lak/organization/greek-research-and-technology-network--grnet-"
"http://data.linkededucation.org/resource/lak/person/nevin-darwish","Nevin Darwish","http://dbpedia.org/resource/Egypt","http://data.linkededucation.org/resource/lak/organization/cairo-university"
"http://data.linkededucation.org/resource/lak/person/kurt-vanlehn","Kurt Vanlehn","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/arizona-state-university"
"http://data.linkededucation.org/resource/lak/person/gerben-w-dekker","Gerben W. Dekker","http://dbpedia.org/resource/Netherlands","http://data.linkededucation.org/resource/lak/organization/eindhoven-university-of-technology"
"http://data.linkededucation.org/resource/lak/person/sadhana-puntambekar","Sadhana Puntambekar","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-wisconsin"
"http://data.linkededucation.org/resource/lak/person/rafael-a-calvo","Rafael A. Calvo","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-sydney"
"http://data.linkededucation.org/resource/lak/person/venniraiselvi-sundararaju","Venniraiselvi Sundararaju","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/marist-college"
"http://data.linkededucation.org/resource/lak/person/hendrik-drachsler","Hendrik Drachsler","http://dbpedia.org/resource/Netherlands","http://data.linkededucation.org/resource/lak/organization/open-university-of-the-netherland"
"http://data.linkededucation.org/resource/lak/person/jonathan-p-rowe","Jonathan P. Rowe","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/north-carolina-state-university"
"http://data.linkededucation.org/resource/lak/person/c-marquez-vera","C. Marquez-vera","http://dbpedia.org/resource/Mexico","http://data.linkededucation.org/resource/lak/organization/autonomous-university-of-zacatecas"
"http://data.linkededucation.org/resource/lak/person/liane-beuster","Liane Beuster","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/hochschule-fur-technik-und-wirtschaft"
"http://data.linkededucation.org/resource/lak/person/niels-pinkwart","Niels Pinkwart","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/clausthal-university-of-technology"
"http://data.linkededucation.org/resource/lak/person/richard-alterman","Richard Alterman","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/brandeis-university"
"http://data.linkededucation.org/resource/lak/person/marian-simko","Marian Simko","http://dbpedia.org/resource/Slovak","http://data.linkededucation.org/resource/lak/organization/university-of-technology"
"http://data.linkededucation.org/resource/lak/person/cristian-moldovan","Cristian Moldovan","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-memphis"
"http://data.linkededucation.org/resource/lak/person/mareike-bultmann","Mareike Bultmann","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/rwth-aachen-university"
"http://data.linkededucation.org/resource/lak/person/martin-schon","Martin Schon","http://dbpedia.org/resource/Austria","http://data.linkededucation.org/resource/lak/organization/graz-university-of-technology"
"http://data.linkededucation.org/resource/lak/person/paul-prinsloo","Paul Prinsloo","http://dbpedia.org/resource/South_Africa","http://data.linkededucation.org/resource/lak/organization/university-of-south-africa"
"http://data.linkededucation.org/resource/lak/person/daniel-guerra","Daniel Guerra","http://dbpedia.org/resource/Chile","http://data.linkededucation.org/resource/lak/organization/universidad-austral-de-chile"
"http://data.linkededucation.org/resource/lak/person/koichi-yastake","Koichi Yastake","http://dbpedia.org/resource/JAPAN","http://data.linkededucation.org/resource/lak/organization/hiroshima-university"
"http://data.linkededucation.org/resource/lak/person/stuart-russell","Stuart Russell","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-california"
"http://data.linkededucation.org/resource/lak/person/lili-wu","Lili Wu","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/carolyn-p-rose","Carolyn P. Rose","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/keith-e-maull","Keith E. Maull","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-colorado"
"http://data.linkededucation.org/resource/lak/person/hao-cen","Hao Cen","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/c-romero","C. Romero","http://dbpedia.org/resource/Spain","http://data.linkededucation.org/resource/lak/organization/university-of-cordoba"
"http://data.linkededucation.org/resource/lak/person/m-croy","M. Croy","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-north-carolina-at-charlotte"
"http://data.linkededucation.org/resource/lak/person/daniel-roberge","Daniel Roberge","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/worcester-polytechnic-institute"
"http://data.linkededucation.org/resource/lak/person/joshua-d-baron","Joshua D. Baron","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/marist-college"
"http://data.linkededucation.org/resource/lak/person/luis-de-la-fuente-valentin","Luis de la Fuente Valentin","http://dbpedia.org/resource/Spain","http://data.linkededucation.org/resource/lak/organization/university-carlos-iii-of-madrid"
"http://data.linkededucation.org/resource/lak/person/nadira-saab","Nadira Saab","http://dbpedia.org/resource/Netherlands","http://data.linkededucation.org/resource/lak/organization/university-of-leiden"
"http://data.linkededucation.org/resource/lak/person/johan-jeuring","Johan Jeuring","http://dbpedia.org/resource/Netherlands","http://data.linkededucation.org/resource/lak/organization/utrecht-university"
"http://data.linkededucation.org/resource/lak/person/dave-barker-plummer","Dave Barker-plummer","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/stanford-university"
"http://data.linkededucation.org/resource/lak/person/brendon-towle","Brendon Towle","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-learning-inc"
"http://data.linkededucation.org/resource/lak/person/d-zielke","D. Zielke","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/rwth-aachen-university"
"http://data.linkededucation.org/resource/lak/person/jana-krivec","Jana Krivec","http://dbpedia.org/resource/Slovenia","http://data.linkededucation.org/resource/lak/organization/university-of-ljubljana"
"http://data.linkededucation.org/resource/lak/person/martin-ebner","Martin Ebner","http://dbpedia.org/resource/Austria","http://data.linkededucation.org/resource/lak/organization/graz-university-of-technology"
"http://data.linkededucation.org/resource/lak/person/alvaro-ortigosa","Alvaro Ortigosa","http://dbpedia.org/resource/Spain","http://data.linkededucation.org/resource/lak/organization/universidad-autonoma-de-madrid"
"http://data.linkededucation.org/resource/lak/person/katja-niemann","Katja Niemann","http://dbpedia.org/resource/Germany","http://data.linkededucation.org/resource/lak/organization/fraunhofer-institute-for-applied-information-technology"
"http://data.linkededucation.org/resource/lak/person/beijie-xu","Beijie Xu","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/utah-state-university"
"http://data.linkededucation.org/resource/lak/person/robert-dale","Robert Dale","http://dbpedia.org/resource/Australia","http://data.linkededucation.org/resource/lak/organization/macquarie-university"
"http://data.linkededucation.org/resource/lak/person/lorrie-lehman","Lorrie Lehman","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-north-carolina-at-charlotte"
"http://data.linkededucation.org/resource/lak/person/kevin-d-ashley","Kevin D. Ashley","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-pittsburgh"
"http://data.linkededucation.org/resource/lak/person/angela-z-wagner","Angela Z. Wagner","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/carnegie-mellon-university"
"http://data.linkededucation.org/resource/lak/person/carlos-monzo","Carlos Monzo","http://dbpedia.org/resource/Spain","http://data.linkededucation.org/resource/lak/organization/universitat-oberta-de-catalunya--uoc-"
"http://data.linkededucation.org/resource/lak/person/vida-groznik","Vida Groznik","http://dbpedia.org/resource/Slovenia","http://data.linkededucation.org/resource/lak/organization/university-of-ljubljana"
"http://data.linkededucation.org/resource/lak/person/jared-tritz","Jared Tritz","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-michigan"
"http://data.linkededucation.org/resource/lak/person/r-pedraza-perez","R. Pedraza-perez","http://dbpedia.org/resource/Spain","http://data.linkededucation.org/resource/lak/organization/university-of-cordoba"
"http://data.linkededucation.org/resource/lak/person/issam-rebai","Issam Rebai","http://dbpedia.org/resource/France","http://data.linkededucation.org/resource/lak/organization/universite-de-paris-sud"
"http://data.linkededucation.org/resource/lak/person/j-gobert","J. Gobert","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/worcester-polytechnic-institute"
"http://data.linkededucation.org/resource/lak/person/kathleen-perez-lopez","Kathleen Perez-Lopez","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/american-institutes-for-research"
"http://data.linkededucation.org/resource/lak/person/eun-young-ha","Eun Young Ha","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/north-carolina-state-university"
"http://data.linkededucation.org/resource/lak/person/brandon-white","Brandon White","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-california,-berkeley"
"http://data.linkededucation.org/resource/lak/person/amelia-zafra","Amelia Zafra","http://dbpedia.org/resource/Spain","http://data.linkededucation.org/resource/lak/organization/university-of-cordoba"
"http://data.linkededucation.org/resource/lak/person/katrien-verbert","Katrien Verbert","http://dbpedia.org/resource/Belgium","http://data.linkededucation.org/resource/lak/organization/kuleuven"
"http://data.linkededucation.org/resource/lak/person/philip-pavlik","Philip Pavlik","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-memphis"
"http://data.linkededucation.org/resource/lak/person/pedro-crespo","Pedro Crespo","http://dbpedia.org/resource/Portugal","http://data.linkededucation.org/resource/lak/organization/technical-university-of-lisbon"
"http://data.linkededucation.org/resource/lak/person/nikita-romashkin","Nikita Romashkin","http://dbpedia.org/resource/Russia","http://data.linkededucation.org/resource/lak/organization/national-research-university"
"http://data.linkededucation.org/resource/lak/person/elizabeth-ayers","Elizabeth Ayers","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-california"
"http://data.linkededucation.org/resource/lak/person/jihie-kim","Jihie Kim","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/university-of-southern-california"
"http://data.linkededucation.org/resource/lak/person/ivana-quinto","Ivana Quinto","http://dbpedia.org/resource/Italy","http://data.linkededucation.org/resource/lak/organization/universita-degli-studi-napoli-federico-ii"
"http://data.linkededucation.org/resource/lak/person/anna-de-liddo","Anna De Liddo","http://dbpedia.org/resource/UK","http://data.linkededucation.org/resource/lak/organization/the-open-university"
"http://data.linkededucation.org/resource/lak/person/wu-he","Wu He","http://dbpedia.org/resource/USA","http://data.linkededucation.org/resource/lak/organization/dominion-university"
"http://data.linkededucation.org/resource/lak/person/no_authors","NO_AUTHORS","http://dbpedia.org/resource/","http://data.linkededucation.org/resource/lak/organization/"
